id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
191,Idiopathic Eczema/Atopic Dermatitis,L20.X,Dermatology,"Idiopathic Eczema/Atopic Dermatitis (ICD-10: L20.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Very Common
192,Congenital Allergic Rhinitis,J30.X,ENT,"Congenital Allergic Rhinitis (ICD-10: J30.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Common
193,Primary Crohn's Disease,K50.X,Gastroenterology,"Primary Crohn's Disease (ICD-10: K50.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Uncommon
194,Late-Onset Pulmonary Embolism,I26.X,Pulmonology,"Late-Onset Pulmonary Embolism (ICD-10: I26.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Common
195,Primary Acute Respiratory Distress Syndrome,J80.X,Critical Care,"Primary Acute Respiratory Distress Syndrome (ICD-10: J80.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Common
196,Idiopathic Schizophrenia,F20.X,Psychiatry,"Idiopathic Schizophrenia (ICD-10: F20.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Very Common
197,Chronic Conjunctivitis,H10.X,Ophthalmology,"Chronic Conjunctivitis (ICD-10: H10.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Rare
198,Mild Sinusitis,J32.X,ENT,"Mild Sinusitis (ICD-10: J32.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Rare
199,Acute Fibromyalgia,M79.7.X,Rheumatology,"Acute Fibromyalgia (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Uncommon
200,Neonatal Jaundice,P59,Neonatology,"Neonatal Jaundice (ICD-10: P59) is a clinical diagnosis managed under Neonatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Very Common
201,Drug-Induced Obstructive Sleep Apnea,G47.3.X,Pulmonology,"Drug-Induced Obstructive Sleep Apnea (ICD-10: G47.3.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Very Common
202,Early-Onset Lung Cancer,C34.X,Oncology,"Early-Onset Lung Cancer (ICD-10: C34.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Uncommon
203,Chronic Cervical Cancer,C53.X,Gastroenterology,"Chronic Cervical Cancer (ICD-10: C53.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Uncommon
204,Chronic Post-Traumatic Stress Disorder,F43.1.X,Psychiatry,"Chronic Post-Traumatic Stress Disorder (ICD-10: F43.1.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Rare
205,Primary Hearing Loss,H91.X,ENT,"Primary Hearing Loss (ICD-10: H91.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Uncommon
206,Drug-Induced Hepatitis C,B17.1.X,Hepatology,"Drug-Induced Hepatitis C (ICD-10: B17.1.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Common
207,Drug-Induced Breast Cancer,C50.X,Oncology,"Drug-Induced Breast Cancer (ICD-10: C50.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Very Common
208,Chronic Uveitis,H20.X,Ophthalmology,"Chronic Uveitis (ICD-10: H20.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
209,Late-Onset Hepatitis C,B17.1.X,Hepatology,"Late-Onset Hepatitis C (ICD-10: B17.1.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Common
210,Mild Fibromyalgia,M79.7.X,Rheumatology,"Mild Fibromyalgia (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Common
211,Acromegaly,E22.0,Endocrinology,"Acromegaly (ICD-10: E22.0) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Rare
212,Acute Thrombocytopenia,D69.6.X,Hematology,"Acute Thrombocytopenia (ICD-10: D69.6.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Common
213,Late-Onset Renal Calculi,N20.X,Urology,"Late-Onset Renal Calculi (ICD-10: N20.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Rare
214,Systemic Lupus Erythematosus,M32,Rheumatology,"Systemic Lupus Erythematosus (ICD-10: M32) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Uncommon
215,Drug-Induced Interstitial Lung Disease,J84.X,Pulmonology,"Drug-Induced Interstitial Lung Disease (ICD-10: J84.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Uncommon
216,Chronic Hypothyroidism,E03.X,Endocrinology,"Chronic Hypothyroidism (ICD-10: E03.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Rare
217,Acute Glaucoma,H40.X,Ophthalmology,"Acute Glaucoma (ICD-10: H40.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Uncommon
218,Secondary Renal Cell Carcinoma,C64.X,Urology,"Secondary Renal Cell Carcinoma (ICD-10: C64.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Uncommon
219,Obsessive-Compulsive Disorder,F42,Psychiatry,"Obsessive-Compulsive Disorder (ICD-10: F42) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Uncommon
220,Severe Urinary Tract Infection,N39.0.X,Urology,"Severe Urinary Tract Infection (ICD-10: N39.0.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Very Common
221,Drug-Induced Psoriasis,L40.X,Dermatology,"Drug-Induced Psoriasis (ICD-10: L40.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Uncommon
222,Primary Febrile Seizures,R56.0.X,Pediatrics,"Primary Febrile Seizures (ICD-10: R56.0.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Uncommon
223,Hyperthyroidism,E05,Endocrinology,"Hyperthyroidism (ICD-10: E05) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
224,Cervical Cancer,C53,Ophthalmology,"Cervical Cancer (ICD-10: C53) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Uncommon
225,Early-Onset Acute Kidney Injury,N17.X,Nephrology,"Early-Onset Acute Kidney Injury (ICD-10: N17.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
226,Drug-Induced Alopecia Areata,L63.X,Dermatology,"Drug-Induced Alopecia Areata (ICD-10: L63.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Common
227,Moderate Encephalitis,G04.X,Neurology,"Moderate Encephalitis (ICD-10: G04.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Rare
228,Primary Lymphoma,C85.X,Hematology,"Primary Lymphoma (ICD-10: C85.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
229,Severe Hepatitis B,B16.X,Hepatology,"Severe Hepatitis B (ICD-10: B16.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Common
230,Mild Chronic Kidney Disease Type 2,N18.X,Nephrology,"Mild Chronic Kidney Disease Type 2 (ICD-10: N18.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Rare
231,Bipolar Disorder,F31,Psychiatry,"Bipolar Disorder (ICD-10: F31) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Rare
232,Recurrent Urinary Tract Infection,N39.0.X,Urology,"Recurrent Urinary Tract Infection (ICD-10: N39.0.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Rare
233,Primary Tonsillitis,J35.0.X,ENT,"Primary Tonsillitis (ICD-10: J35.0.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Rare
234,Congenital Tonsillitis,J35.0.X,ENT,"Congenital Tonsillitis (ICD-10: J35.0.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Common
235,Moderate Deep Vein Thrombosis,I82.4.X,Vascular Surgery,"Moderate Deep Vein Thrombosis (ICD-10: I82.4.X) is a clinical diagnosis managed under Vascular Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Rare
236,Post-Operative Urinary Tract Infection,N39.0.X,Urology,"Post-Operative Urinary Tract Infection (ICD-10: N39.0.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Rare
237,Congenital Hypothyroidism,E03.X,Endocrinology,"Congenital Hypothyroidism (ICD-10: E03.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Common
238,Congenital Diabetic Retinopathy,E11.3.X,Ophthalmology,"Congenital Diabetic Retinopathy (ICD-10: E11.3.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Common
239,Post-Operative Age-Related Macular Degeneration,H35.3.X,Ophthalmology,"Post-Operative Age-Related Macular Degeneration (ICD-10: H35.3.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Curative,Uncommon
240,Hepatitis B,B16,Hepatology,"Hepatitis B (ICD-10: B16) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Common
241,Late-Onset Vitiligo Type 1,L80.X,Dermatology,"Late-Onset Vitiligo Type 1 (ICD-10: L80.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Curative,Rare
242,Drug-Induced Chronic Pancreatitis,K86.1.X,Gastroenterology,"Drug-Induced Chronic Pancreatitis (ICD-10: K86.1.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
243,Severe Otitis Media,H65.X,ENT,"Severe Otitis Media (ICD-10: H65.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Uncommon
244,Acute Atrial Fibrillation,I48.X,Cardiology,"Acute Atrial Fibrillation (ICD-10: I48.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Rare
245,Chronic Glomerulonephritis,N05.9.X,Nephrology,"Chronic Glomerulonephritis (ICD-10: N05.9.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Common
246,Chronic Multiple Sclerosis,G35.X,Neurology,"Chronic Multiple Sclerosis (ICD-10: G35.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Very Common
247,Idiopathic Glaucoma,H40.X,Ophthalmology,"Idiopathic Glaucoma (ICD-10: H40.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Rare
248,Acute Bell's Palsy,G51.0.X,Neurology,"Acute Bell's Palsy (ICD-10: G51.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Common
249,Early-Onset Meningitis,G03.X,Neurology,"Early-Onset Meningitis (ICD-10: G03.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Very Common
250,Mild Allergic Rhinitis,J30.X,ENT,"Mild Allergic Rhinitis (ICD-10: J30.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
251,Primary Aplastic Anemia,D61.X,Hematology,"Primary Aplastic Anemia (ICD-10: D61.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Rare
252,Acute Acromegaly,E22.0.X,Endocrinology,"Acute Acromegaly (ICD-10: E22.0.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Uncommon
253,Hepatitis C,B17.1,Hepatology,"Hepatitis C (ICD-10: B17.1) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Common
254,Early-Onset Acute Myocardial Infarction,I21.X,Cardiology,"Early-Onset Acute Myocardial Infarction (ICD-10: I21.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Rare
255,Autoimmune Vitamin B12 Deficiency Anemia,D51.X,Hematology,"Autoimmune Vitamin B12 Deficiency Anemia (ICD-10: D51.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Rare
256,Idiopathic Alcohol Use Disorder Type 4,F10.X,Psychiatry,"Idiopathic Alcohol Use Disorder Type 4 (ICD-10: F10.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Common
257,Autoimmune Cervical Spondylosis,M47.8.X,Orthopedics,"Autoimmune Cervical Spondylosis (ICD-10: M47.8.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Uncommon
258,Moderate Melanoma,C43.X,Hematology,"Moderate Melanoma (ICD-10: C43.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Uncommon
259,Mild Uterine Fibroids,D25.X,Gynecology,"Mild Uterine Fibroids (ICD-10: D25.X) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Common
260,Early-Onset Acne Vulgaris,L70.0.X,Dermatology,"Early-Onset Acne Vulgaris (ICD-10: L70.0.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Rare
261,Acute Hyperthyroidism,E05.X,Endocrinology,"Acute Hyperthyroidism (ICD-10: E05.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Rare
262,Severe Guillain-Barré Syndrome,G61.0.X,Neurology,"Severe Guillain-Barré Syndrome (ICD-10: G61.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Rare
263,Severe Lung Cancer,C34.X,Oncology,"Severe Lung Cancer (ICD-10: C34.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Common
264,Severe Urinary Tract Infection Type 4,N39.0.X,Urology,"Severe Urinary Tract Infection Type 4 (ICD-10: N39.0.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Rare
265,Acute Mitral Regurgitation,I34.0.X,Cardiology,"Acute Mitral Regurgitation (ICD-10: I34.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Common
266,Idiopathic Irritable Bowel Syndrome,K58.X,Gastroenterology,"Idiopathic Irritable Bowel Syndrome (ICD-10: K58.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Uncommon
267,Secondary Leukemia,C91.X,Urology,"Secondary Leukemia (ICD-10: C91.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Uncommon
268,Autoimmune Transient Ischemic Attack,G45.9.X,Neurology,"Autoimmune Transient Ischemic Attack (ICD-10: G45.9.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Uncommon
269,Severe Premature Labor,O60.X,Obstetrics,"Severe Premature Labor (ICD-10: O60.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Very Common
270,Congenital Premature Labor,O60.X,Obstetrics,"Congenital Premature Labor (ICD-10: O60.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Very Common
271,Acute Thalassemia,D56.X,Hematology,"Acute Thalassemia (ICD-10: D56.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Very Common
272,Idiopathic Polycythemia Vera,D45.X,Hematology,"Idiopathic Polycythemia Vera (ICD-10: D45.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Common
273,Primary Osteoporosis,M81.X,Rheumatology,"Primary Osteoporosis (ICD-10: M81.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Very Common
274,Mild Hepatitis C,B17.1.X,Hepatology,"Mild Hepatitis C (ICD-10: B17.1.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Common
275,Severe Pulmonary Tuberculosis,A15.X,Pulmonology,"Severe Pulmonary Tuberculosis (ICD-10: A15.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Very Common
276,Mild Lymphoma,C85.X,Gastroenterology,"Mild Lymphoma (ICD-10: C85.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Common
277,Primary Pleural Effusion,J90.X,Pulmonology,"Primary Pleural Effusion (ICD-10: J90.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Common
278,Autoimmune Dengue Fever,A90.X,Infectious Disease,"Autoimmune Dengue Fever (ICD-10: A90.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Uncommon
279,Chronic Placenta Previa Type 3,O44.X,Obstetrics,"Chronic Placenta Previa Type 3 (ICD-10: O44.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Uncommon
280,Parkinson's Disease,G20,Neurology,"Parkinson's Disease (ICD-10: G20) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Rare
281,Herpes Zoster,B02,Infectious Disease,"Herpes Zoster (ICD-10: B02) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Very Common
282,Typhoid Fever,A01.0,Infectious Disease,"Typhoid Fever (ICD-10: A01.0) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Rare
283,Pulmonary Embolism,I26,Pulmonology,"Pulmonary Embolism (ICD-10: I26) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Common
284,Autoimmune Sickle Cell Disease Type 4,D57.X,Hematology,"Autoimmune Sickle Cell Disease Type 4 (ICD-10: D57.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Common
285,Early-Onset Ischemic Stroke,I63.X,Neurology,"Early-Onset Ischemic Stroke (ICD-10: I63.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Rare
286,Metabolic Syndrome,E88.81,Endocrinology,"Metabolic Syndrome (ICD-10: E88.81) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Uncommon
287,Idiopathic Appendicitis,K37.X,General Surgery,"Idiopathic Appendicitis (ICD-10: K37.X) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Uncommon
288,Recurrent Uveitis,H20.X,Ophthalmology,"Recurrent Uveitis (ICD-10: H20.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Rare
289,Secondary Pneumothorax,J93.X,Pulmonology,"Secondary Pneumothorax (ICD-10: J93.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Very Common
290,Irritable Bowel Syndrome,K58,Gastroenterology,"Irritable Bowel Syndrome (ICD-10: K58) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Common
291,Acute Gastroenteritis,A09,Pediatrics,"Acute Gastroenteritis (ICD-10: A09) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Rare
292,Chronic Allergic Rhinitis,J30.X,ENT,"Chronic Allergic Rhinitis (ICD-10: J30.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Common
293,Late-Onset Fibromyalgia,M79.7.X,Rheumatology,"Late-Onset Fibromyalgia (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Uncommon
294,Secondary Ovarian Cancer,C56.X,Nephrology,"Secondary Ovarian Cancer (ICD-10: C56.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Uncommon
