id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
212,Ferrous Sulfate Extended Release,Ferrous Sulfate,Analgesic,Sun Pharma,Tablet,100mg,Ferrous Sulfate Extended Release 100mg Tablet is a iron supplement used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 100mg of active ingredient.,Iron Supplement,Yes,Store below 25°C
213,Clotrimazole SR,Clotrimazole SR,Urological,Elder Pharma,Cream,10mg,Clotrimazole SR 10mg Cream is a antifungal used in the management of various conditions. Manufactured by Elder Pharma. Each cream contains 10mg of active ingredient.,Antifungal,Yes,Refrigerate 2-8°C
214,Amlodipine XR,Amlodipine XR,Cardiac,Dr. Reddy's,Tablet,20mg,Amlodipine XR 20mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 20mg of active ingredient.,Calcium Channel Blocker,Yes,Store below 25°C
215,Metronidazole,Metronidazole,Ophthalmic,Alkem Labs,Tablet,400mg,Metronidazole 400mg Tablet is a antibiotic/antiprotozoal used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 400mg of active ingredient.,Antibiotic/Antiprotozoal,No,Store away from light
216,Fluconazole Plus,Fluconazole,Antidepressant,Mankind Pharma,Tablet,1g,Fluconazole Plus 1g Tablet is a antifungal used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 1g of active ingredient.,Antifungal,Yes,Store below 25°C
217,Empagliflozin Plus,Empagliflozin,Anticoagulant,Lupin,Tablet,50mg,Empagliflozin Plus 50mg Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by Lupin. Each tablet contains 50mg of active ingredient.,SGLT2 Inhibitor,Yes,Store in dry place
218,Dabigatran Plus,Dabigatran,Urological,Torrent Pharma,Capsule,250mg,Dabigatran Plus 250mg Capsule is a noac used in the management of various conditions. Manufactured by Torrent Pharma. Each capsule contains 250mg of active ingredient.,NOAC,Yes,Store away from light
219,Sucralfate Extended Release,Sucralfate,Antidiabetic,Dabur Pharma,Tablet,250mg,Sucralfate Extended Release 250mg Tablet is a mucosal protectant used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 250mg of active ingredient.,Mucosal Protectant,Yes,Store below 25°C
220,Cyclosporine SR,Cyclosporine SR,Statin,Sun Pharma,Capsule,100mg,Cyclosporine SR 100mg Capsule is a immunosuppressant used in the management of various conditions. Manufactured by Sun Pharma. Each capsule contains 100mg of active ingredient.,Immunosuppressant,No,Store in dry place
221,Cephalexin SR,Cephalexin SR,Antimalarial,Torrent Pharma,Capsule,20mg,Cephalexin SR 20mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Torrent Pharma. Each capsule contains 20mg of active ingredient.,Antibiotic,Yes,Store below 25°C
222,Salbutamol,Salbutamol,Antipsychotic,Torrent Pharma,Inhaler,100mcg/dose,Salbutamol 100mcg/dose Inhaler is a bronchodilator used in the management of various conditions. Manufactured by Torrent Pharma. Each inhaler contains 100mcg/dose of active ingredient.,Bronchodilator,No,Store below 25°C
223,Perindopril Sustained Release,Perindopril,Antiviral,Glenmark,Tablet,20mg,Perindopril Sustained Release 20mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 20mg of active ingredient.,ACE Inhibitor,Yes,Store in dry place
224,Cotrimoxazole,Cotrimoxazole,Oncology,Glenmark,Tablet,960mg,Cotrimoxazole 960mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 960mg of active ingredient.,Antibiotic,Yes,Store away from light
225,Vancomycin Plus,Vancomycin,Anticoagulant,GSK India,Injection,500mg,Vancomycin Plus 500mg Injection is a antibiotic used in the management of various conditions. Manufactured by GSK India. Each injection contains 500mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
226,Sertraline Dispersible,Sertraline Dispersible,NSAID,Himalaya,Tablet,10mg,Sertraline Dispersible 10mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 10mg of active ingredient.,SSRI Antidepressant,Yes,Refrigerate 2-8°C
227,Progesterone IV,Progesterone IV,Antifungal,Lupin,Capsule,500mg,Progesterone IV 500mg Capsule is a progestogen used in the management of various conditions. Manufactured by Lupin. Each capsule contains 500mg of active ingredient.,Progestogen,Yes,Store away from light
228,Spironolactone Dispersible,Spironolactone Dispersible,Dermatological,Pfizer India,Tablet,500mg,Spironolactone Dispersible 500mg Tablet is a potassium-sparing diuretic used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 500mg of active ingredient.,Potassium-Sparing Diuretic,Yes,Store in dry place
229,Escitalopram SR,Escitalopram SR,Analgesic,Sanofi India,Tablet,25mg,Escitalopram SR 25mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 25mg of active ingredient.,SSRI Antidepressant,No,Store away from light
230,Fenofibrate Forte,Fenofibrate Forte,Antidiabetic,Aurobindo Pharma,Tablet,20mg,Fenofibrate Forte 20mg Tablet is a fibrate used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 20mg of active ingredient.,Fibrate,Yes,Store away from light
231,Heparin Forte,Heparin Forte,Antihypertensive,Cipla,Injection,50mg,Heparin Forte 50mg Injection is a anticoagulant used in the management of various conditions. Manufactured by Cipla. Each injection contains 50mg of active ingredient.,Anticoagulant,Yes,Store in dry place
232,Permethrin Junior,Permethrin Junior,Oncology,Sun Pharma,Cream,500mg,Permethrin Junior 500mg Cream is a antiparasitic used in the management of various conditions. Manufactured by Sun Pharma. Each cream contains 500mg of active ingredient.,Antiparasitic,No,Store in dry place
233,Tacrolimus,Tacrolimus,Cardiac,Micro Labs,Capsule,1mg,Tacrolimus 1mg Capsule is a immunosuppressant used in the management of various conditions. Manufactured by Micro Labs. Each capsule contains 1mg of active ingredient.,Immunosuppressant,Yes,Store away from light
234,Glibenclamide,Glibenclamide,NSAID,Johnson & Johnson,Tablet,5mg,Glibenclamide 5mg Tablet is a sulfonylurea used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 5mg of active ingredient.,Sulfonylurea,No,Store away from light
235,Ezetimibe Extended Release,Ezetimibe,Urological,Torrent Pharma,Tablet,10mg,Ezetimibe Extended Release 10mg Tablet is a cholesterol absorption inhibitor used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 10mg of active ingredient.,Cholesterol Absorption Inhibitor,Yes,Refrigerate 2-8°C
236,Paracetamol,Paracetamol,Dermatological,Aristo Pharma,Tablet,500mg,Paracetamol 500mg Tablet is a analgesic/antipyretic used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 500mg of active ingredient.,Analgesic/Antipyretic,Yes,Store below 25°C
237,Permethrin XR,Permethrin XR,Anticoagulant,GSK India,Cream,50mg,Permethrin XR 50mg Cream is a antiparasitic used in the management of various conditions. Manufactured by GSK India. Each cream contains 50mg of active ingredient.,Antiparasitic,Yes,Store away from light
238,Testosterone Plus,Testosterone,Antihypertensive,Pfizer India,Injection,1g,Testosterone Plus 1g Injection is a androgen used in the management of various conditions. Manufactured by Pfizer India. Each injection contains 1g of active ingredient.,Androgen,Yes,Store in dry place
239,Ramipril XR,Ramipril XR,Antipsychotic,Zydus Cadila,Tablet,250mg,Ramipril XR 250mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 250mg of active ingredient.,ACE Inhibitor,Yes,Store below 25°C
240,Vancomycin Sustained Release,Vancomycin,Bronchodilator,Micro Labs,Injection,10mg,Vancomycin Sustained Release 10mg Injection is a antibiotic used in the management of various conditions. Manufactured by Micro Labs. Each injection contains 10mg of active ingredient.,Antibiotic,Yes,Store away from light
241,Budesonide Plus,Budesonide,Antihypertensive,Zydus Cadila,Inhaler,100mg,Budesonide Plus 100mg Inhaler is a corticosteroid inhaler used in the management of various conditions. Manufactured by Zydus Cadila. Each inhaler contains 100mg of active ingredient.,Corticosteroid Inhaler,Yes,Store away from light
242,Enalapril,Enalapril,Antimalarial,Elder Pharma,Tablet,5mg,Enalapril 5mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 5mg of active ingredient.,ACE Inhibitor,Yes,Store away from light
243,Tretinoin XR,Tretinoin XR,Antipsychotic,Emcure Pharma,Cream,500mg,Tretinoin XR 500mg Cream is a retinoid used in the management of various conditions. Manufactured by Emcure Pharma. Each cream contains 500mg of active ingredient.,Retinoid,Yes,Store away from light
244,Risperidone,Risperidone,Ophthalmic,Dabur Pharma,Tablet,2mg,Risperidone 2mg Tablet is a antipsychotic used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 2mg of active ingredient.,Antipsychotic,Yes,Store below 25°C
245,Ketorolac Dispersible,Ketorolac Dispersible,Antifungal,Glenmark,Injection,250mg,Ketorolac Dispersible 250mg Injection is a nsaid used in the management of various conditions. Manufactured by Glenmark. Each injection contains 250mg of active ingredient.,NSAID,Yes,Store below 25°C
246,Ferrous Sulfate SR,Ferrous Sulfate SR,Dermatological,Dr. Reddy's,Tablet,1g,Ferrous Sulfate SR 1g Tablet is a iron supplement used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 1g of active ingredient.,Iron Supplement,Yes,Refrigerate 2-8°C
247,Semaglutide Forte 246,Semaglutide Forte,Urological,GSK India,Injection,10mg,Semaglutide Forte 246 10mg Injection is a glp-1 agonist used in the management of various conditions. Manufactured by GSK India. Each injection contains 10mg of active ingredient.,GLP-1 Agonist,Yes,Store in dry place
248,Progesterone IV 247,Progesterone IV,Antibiotic,Torrent Pharma,Capsule,250mg,Progesterone IV 247 250mg Capsule is a progestogen used in the management of various conditions. Manufactured by Torrent Pharma. Each capsule contains 250mg of active ingredient.,Progestogen,No,Store away from light
249,Domperidone Plus,Domperidone,Vitamin/Supplement,IPCA Labs,Tablet,20mg,Domperidone Plus 20mg Tablet is a prokinetic used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 20mg of active ingredient.,Prokinetic,Yes,Store in dry place
250,Spironolactone XR,Spironolactone XR,Antimalarial,Himalaya,Tablet,50mg,Spironolactone XR 50mg Tablet is a potassium-sparing diuretic used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 50mg of active ingredient.,Potassium-Sparing Diuretic,Yes,Store below 25°C
251,Heparin Dispersible,Heparin Dispersible,Urological,Max Healthcare Pharma,Injection,500mg,Heparin Dispersible 500mg Injection is a anticoagulant used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each injection contains 500mg of active ingredient.,Anticoagulant,No,Store below 25°C
252,Methotrexate,Methotrexate,Corticosteroid,IPCA Labs,Tablet,7.5mg,Methotrexate 7.5mg Tablet is a dmard/immunosuppressant used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 7.5mg of active ingredient.,DMARD/Immunosuppressant,Yes,Store in dry place
253,Amlodipine Junior,Amlodipine Junior,Antidiabetic,Himalaya,Tablet,20mg,Amlodipine Junior 20mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 20mg of active ingredient.,Calcium Channel Blocker,Yes,Refrigerate 2-8°C
254,Metoclopramide SR,Metoclopramide SR,Statin,Aurobindo Pharma,Tablet,100mg,Metoclopramide SR 100mg Tablet is a antiemetic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 100mg of active ingredient.,Antiemetic,Yes,Store below 25°C
255,Moxifloxacin SR,Moxifloxacin SR,Dermatological,Alkem Labs,Tablet,50mg,Moxifloxacin SR 50mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 50mg of active ingredient.,Antibiotic,No,Refrigerate 2-8°C
256,Clonazepam SR,Clonazepam SR,Antiviral,Lupin,Tablet,250mg,Clonazepam SR 250mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Lupin. Each tablet contains 250mg of active ingredient.,Benzodiazepine,No,Store away from light
257,Rosuvastatin,Rosuvastatin,Oncology,Novartis India,Tablet,10mg,Rosuvastatin 10mg Tablet is a statin used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 10mg of active ingredient.,Statin,Yes,Store below 25°C
258,Pantoprazole Forte,Pantoprazole Forte,Antifungal,Max Healthcare Pharma,Tablet,1g,Pantoprazole Forte 1g Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 1g of active ingredient.,Proton Pump Inhibitor,Yes,Store below 25°C
259,Meropenem XR,Meropenem XR,Antimalarial,Max Healthcare Pharma,Injection,250mg,Meropenem XR 250mg Injection is a antibiotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each injection contains 250mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
260,Candesartan Extended Release,Candesartan,Analgesic,Aurobindo Pharma,Tablet,100mg,Candesartan Extended Release 100mg Tablet is a arb used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 100mg of active ingredient.,ARB,Yes,Store away from light
261,Valproate XR,Valproate XR,Immunosuppressant,Elder Pharma,Tablet,1g,Valproate XR 1g Tablet is a antiepileptic/mood stabilizer used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 1g of active ingredient.,Antiepileptic/Mood Stabilizer,No,Refrigerate 2-8°C
262,Remdesivir Extended Release 261,Remdesivir,Statin,Dabur Pharma,Injection,25mg,Remdesivir Extended Release 261 25mg Injection is a antiviral used in the management of various conditions. Manufactured by Dabur Pharma. Each injection contains 25mg of active ingredient.,Antiviral,Yes,Store away from light
263,Ramipril Extended Release,Ramipril,Dermatological,Johnson & Johnson,Tablet,100mg,Ramipril Extended Release 100mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 100mg of active ingredient.,ACE Inhibitor,Yes,Store away from light
264,Rivaroxaban Junior,Rivaroxaban Junior,Dermatological,Wockhardt,Tablet,250mg,Rivaroxaban Junior 250mg Tablet is a noac used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 250mg of active ingredient.,NOAC,No,Store in dry place
265,Sertraline Dispersible 264,Sertraline Dispersible,Antipsychotic,Glenmark,Tablet,100mg,Sertraline Dispersible 264 100mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 100mg of active ingredient.,SSRI Antidepressant,Yes,Store away from light
266,Amphotericin B IV,Amphotericin B IV,Statin,Abbott India,Injection,10mg,Amphotericin B IV 10mg Injection is a antifungal used in the management of various conditions. Manufactured by Abbott India. Each injection contains 10mg of active ingredient.,Antifungal,Yes,Store in dry place
267,Sacubitril-Valsartan Forte,Sacubitril-Valsartan Forte,Vitamin/Supplement,Himalaya,Tablet,10mg,Sacubitril-Valsartan Forte 10mg Tablet is a arni used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 10mg of active ingredient.,ARNi,Yes,Refrigerate 2-8°C
268,Semaglutide Sustained Release,Semaglutide,Proton Pump Inhibitor,Novartis India,Injection,500mg,Semaglutide Sustained Release 500mg Injection is a glp-1 agonist used in the management of various conditions. Manufactured by Novartis India. Each injection contains 500mg of active ingredient.,GLP-1 Agonist,Yes,Store in dry place
269,Amoxicillin Forte,Amoxicillin Forte,Statin,Johnson & Johnson,Capsule,1g,Amoxicillin Forte 1g Capsule is a antibiotic used in the management of various conditions. Manufactured by Johnson & Johnson. Each capsule contains 1g of active ingredient.,Antibiotic,No,Store in dry place
270,Dextromethorphan Plus,Dextromethorphan,Antidiabetic,Himalaya,Syrup,100mg,Dextromethorphan Plus 100mg Syrup is a cough suppressant used in the management of various conditions. Manufactured by Himalaya. Each syrup contains 100mg of active ingredient.,Cough Suppressant,Yes,Store away from light
271,Ibuprofen,Ibuprofen,Hormonal,Elder Pharma,Tablet,400mg,Ibuprofen 400mg Tablet is a nsaid used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 400mg of active ingredient.,NSAID,Yes,Store in dry place
272,Isosorbide Mononitrate,Isosorbide Mononitrate,Analgesic,Wockhardt,Tablet,20mg,Isosorbide Mononitrate 20mg Tablet is a nitrate used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 20mg of active ingredient.,Nitrate,Yes,Store below 25°C
273,Methotrexate Dispersible,Methotrexate Dispersible,Statin,Glenmark,Tablet,10mg,Methotrexate Dispersible 10mg Tablet is a dmard/immunosuppressant used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 10mg of active ingredient.,DMARD/Immunosuppressant,Yes,Store below 25°C
274,Simvastatin Dispersible,Simvastatin Dispersible,Antidepressant,Novartis India,Tablet,50mg,Simvastatin Dispersible 50mg Tablet is a statin used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 50mg of active ingredient.,Statin,No,Store in dry place
275,Amiodarone Junior,Amiodarone Junior,Antidepressant,Johnson & Johnson,Tablet,1g,Amiodarone Junior 1g Tablet is a antiarrhythmic used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 1g of active ingredient.,Antiarrhythmic,No,Store below 25°C
276,Insulin Glargine Junior,Insulin Glargine Junior,Antiepileptic,Himalaya,Injection,100mg,Insulin Glargine Junior 100mg Injection is a long-acting insulin used in the management of various conditions. Manufactured by Himalaya. Each injection contains 100mg of active ingredient.,Long-Acting Insulin,No,Store below 25°C
277,Tretinoin Extended Release 276,Tretinoin,Antimalarial,Torrent Pharma,Cream,20mg,Tretinoin Extended Release 276 20mg Cream is a retinoid used in the management of various conditions. Manufactured by Torrent Pharma. Each cream contains 20mg of active ingredient.,Retinoid,Yes,Refrigerate 2-8°C
278,Tenofovir Forte,Tenofovir Forte,Ophthalmic,Dabur Pharma,Tablet,500mg,Tenofovir Forte 500mg Tablet is a antiretroviral used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 500mg of active ingredient.,Antiretroviral,Yes,Refrigerate 2-8°C
279,Fenofibrate XR,Fenofibrate XR,Oncology,Micro Labs,Tablet,25mg,Fenofibrate XR 25mg Tablet is a fibrate used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 25mg of active ingredient.,Fibrate,Yes,Store below 25°C
280,Furosemide,Furosemide,Antiviral,Glenmark,Tablet,40mg,Furosemide 40mg Tablet is a loop diuretic used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 40mg of active ingredient.,Loop Diuretic,Yes,Store in dry place
281,Carbamazepine Extended Release,Carbamazepine,Antibiotic,Aristo Pharma,Tablet,50mg,Carbamazepine Extended Release 50mg Tablet is a antiepileptic used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 50mg of active ingredient.,Antiepileptic,Yes,Store in dry place
282,Iron Sucrose IV,Iron Sucrose IV,Dermatological,Novartis India,Injection,500mg,Iron Sucrose IV 500mg Injection is a iron supplement used in the management of various conditions. Manufactured by Novartis India. Each injection contains 500mg of active ingredient.,Iron Supplement,Yes,Refrigerate 2-8°C
283,Methylprednisolone Dispersible,Methylprednisolone Dispersible,Oncology,GSK India,Injection,10mg,Methylprednisolone Dispersible 10mg Injection is a corticosteroid used in the management of various conditions. Manufactured by GSK India. Each injection contains 10mg of active ingredient.,Corticosteroid,Yes,Refrigerate 2-8°C
284,Mupirocin SR,Mupirocin SR,NSAID,Max Healthcare Pharma,Ointment,50mg,Mupirocin SR 50mg Ointment is a topical antibiotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each ointment contains 50mg of active ingredient.,Topical Antibiotic,No,Store in dry place
285,Rosuvastatin IV,Rosuvastatin IV,Anticoagulant,Emcure Pharma,Tablet,250mg,Rosuvastatin IV 250mg Tablet is a statin used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 250mg of active ingredient.,Statin,Yes,Refrigerate 2-8°C
286,Tamsulosin Forte,Tamsulosin Forte,NSAID,Pfizer India,Capsule,20mg,Tamsulosin Forte 20mg Capsule is a alpha blocker used in the management of various conditions. Manufactured by Pfizer India. Each capsule contains 20mg of active ingredient.,Alpha Blocker,Yes,Store away from light
287,Insulin Glargine Dispersible,Insulin Glargine Dispersible,Antifungal,Cipla,Injection,20mg,Insulin Glargine Dispersible 20mg Injection is a long-acting insulin used in the management of various conditions. Manufactured by Cipla. Each injection contains 20mg of active ingredient.,Long-Acting Insulin,Yes,Store in dry place
288,Losartan Forte,Losartan Forte,Anticoagulant,Abbott India,Tablet,20mg,Losartan Forte 20mg Tablet is a arb used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 20mg of active ingredient.,ARB,Yes,Store below 25°C
289,Amiodarone,Amiodarone,Antimalarial,IPCA Labs,Tablet,200mg,Amiodarone 200mg Tablet is a antiarrhythmic used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 200mg of active ingredient.,Antiarrhythmic,No,Store below 25°C
290,Methylprednisolone Plus,Methylprednisolone,Antipsychotic,Abbott India,Injection,20mg,Methylprednisolone Plus 20mg Injection is a corticosteroid used in the management of various conditions. Manufactured by Abbott India. Each injection contains 20mg of active ingredient.,Corticosteroid,Yes,Store in dry place
291,Propylthiouracil,Propylthiouracil,Hormonal,Aurobindo Pharma,Tablet,50mg,Propylthiouracil 50mg Tablet is a antithyroid used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 50mg of active ingredient.,Antithyroid,Yes,Store below 25°C
292,Simvastatin,Simvastatin,Antipsychotic,Himalaya,Tablet,20mg,Simvastatin 20mg Tablet is a statin used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 20mg of active ingredient.,Statin,No,Refrigerate 2-8°C
293,Zinc Sulfate SR,Zinc Sulfate SR,Antihypertensive,Micro Labs,Tablet,250mg,Zinc Sulfate SR 250mg Tablet is a mineral used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 250mg of active ingredient.,Mineral,No,Store away from light
294,Acyclovir,Acyclovir,Vitamin/Supplement,Aristo Pharma,Tablet,400mg,Acyclovir 400mg Tablet is a antiviral used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 400mg of active ingredient.,Antiviral,Yes,Store below 25°C
295,Ezetimibe Dispersible,Ezetimibe Dispersible,Bronchodilator,Torrent Pharma,Tablet,25mg,Ezetimibe Dispersible 25mg Tablet is a cholesterol absorption inhibitor used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 25mg of active ingredient.,Cholesterol Absorption Inhibitor,No,Store in dry place
296,Dapagliflozin Plus,Dapagliflozin,Corticosteroid,IPCA Labs,Tablet,20mg,Dapagliflozin Plus 20mg Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 20mg of active ingredient.,SGLT2 Inhibitor,Yes,Refrigerate 2-8°C
297,Enalapril XR,Enalapril XR,Dermatological,Max Healthcare Pharma,Tablet,25mg,Enalapril XR 25mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 25mg of active ingredient.,ACE Inhibitor,Yes,Store below 25°C
298,Vitamin C IV,Vitamin C IV,Urological,Lupin,Tablet,1g,Vitamin C IV 1g Tablet is a vitamin used in the management of various conditions. Manufactured by Lupin. Each tablet contains 1g of active ingredient.,Vitamin,Yes,Store away from light
299,Cotrimoxazole IV,Cotrimoxazole IV,Ophthalmic,Zydus Cadila,Tablet,1g,Cotrimoxazole IV 1g Tablet is a antibiotic used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 1g of active ingredient.,Antibiotic,No,Store below 25°C
300,Hydroxychloroquine,Hydroxychloroquine,Antipsychotic,Johnson & Johnson,Tablet,200mg,Hydroxychloroquine 200mg Tablet is a antimalarial/dmard used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 200mg of active ingredient.,Antimalarial/DMARD,Yes,Store below 25°C
301,Metformin Dispersible,Metformin Dispersible,Antidepressant,Glenmark,Tablet,25mg,Metformin Dispersible 25mg Tablet is a biguanide used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 25mg of active ingredient.,Biguanide,Yes,Store below 25°C
302,Fluconazole,Fluconazole,Corticosteroid,Micro Labs,Tablet,150mg,Fluconazole 150mg Tablet is a antifungal used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 150mg of active ingredient.,Antifungal,Yes,Store away from light
303,Prednisolone Junior,Prednisolone Junior,Antiepileptic,Cipla,Tablet,50mg,Prednisolone Junior 50mg Tablet is a corticosteroid used in the management of various conditions. Manufactured by Cipla. Each tablet contains 50mg of active ingredient.,Corticosteroid,No,Store in dry place
304,Adenosine,Adenosine,Antihypertensive,Micro Labs,Injection,6mg/2ml,Adenosine 6mg/2ml Injection is a antiarrhythmic used in the management of various conditions. Manufactured by Micro Labs. Each injection contains 6mg/2ml of active ingredient.,Antiarrhythmic,Yes,Refrigerate 2-8°C
305,Budesonide IV,Budesonide IV,Vitamin/Supplement,Max Healthcare Pharma,Inhaler,20mg,Budesonide IV 20mg Inhaler is a corticosteroid inhaler used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each inhaler contains 20mg of active ingredient.,Corticosteroid Inhaler,Yes,Store below 25°C
306,Propylthiouracil Junior,Propylthiouracil Junior,Urological,Novartis India,Tablet,100mg,Propylthiouracil Junior 100mg Tablet is a antithyroid used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 100mg of active ingredient.,Antithyroid,No,Store away from light
307,Losartan SR,Losartan SR,Proton Pump Inhibitor,Lupin,Tablet,10mg,Losartan SR 10mg Tablet is a arb used in the management of various conditions. Manufactured by Lupin. Each tablet contains 10mg of active ingredient.,ARB,Yes,Store below 25°C
308,Digoxin Forte,Digoxin Forte,Urological,Dabur Pharma,Tablet,10mg,Digoxin Forte 10mg Tablet is a cardiac glycoside used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 10mg of active ingredient.,Cardiac Glycoside,No,Store below 25°C
309,Ivabradine IV,Ivabradine IV,Oncology,Emcure Pharma,Tablet,250mg,Ivabradine IV 250mg Tablet is a if-channel blocker used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 250mg of active ingredient.,If-Channel Blocker,Yes,Store below 25°C
310,Terbinafine Dispersible,Terbinafine Dispersible,Antihypertensive,Dr. Reddy's,Cream,100mg,Terbinafine Dispersible 100mg Cream is a antifungal used in the management of various conditions. Manufactured by Dr. Reddy's. Each cream contains 100mg of active ingredient.,Antifungal,Yes,Refrigerate 2-8°C
311,Ciprofloxacin XR,Ciprofloxacin XR,Vitamin/Supplement,Alkem Labs,Tablet,25mg,Ciprofloxacin XR 25mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 25mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
312,Vancomycin Sustained Release 311,Vancomycin,Antifungal,Alkem Labs,Injection,500mg,Vancomycin Sustained Release 311 500mg Injection is a antibiotic used in the management of various conditions. Manufactured by Alkem Labs. Each injection contains 500mg of active ingredient.,Antibiotic,Yes,Store away from light
313,Tamsulosin Plus,Tamsulosin,Antiviral,GSK India,Capsule,50mg,Tamsulosin Plus 50mg Capsule is a alpha blocker used in the management of various conditions. Manufactured by GSK India. Each capsule contains 50mg of active ingredient.,Alpha Blocker,Yes,Store in dry place
314,Progesterone XR,Progesterone XR,Antiviral,Sun Pharma,Capsule,10mg,Progesterone XR 10mg Capsule is a progestogen used in the management of various conditions. Manufactured by Sun Pharma. Each capsule contains 10mg of active ingredient.,Progestogen,Yes,Store below 25°C
315,Isosorbide Mononitrate Dispersible,Isosorbide Mononitrate Dispersible,NSAID,GSK India,Tablet,20mg,Isosorbide Mononitrate Dispersible 20mg Tablet is a nitrate used in the management of various conditions. Manufactured by GSK India. Each tablet contains 20mg of active ingredient.,Nitrate,Yes,Store below 25°C
316,Ticagrelor Forte,Ticagrelor Forte,Antihypertensive,Himalaya,Tablet,500mg,Ticagrelor Forte 500mg Tablet is a antiplatelet used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 500mg of active ingredient.,Antiplatelet,Yes,Store below 25°C
