id,name,department,sample_type,description,turnaround_time,fasting_required,normal_range,cost_category
197,Point-of-Care FISH (Fluorescence In-Situ Hybridization),Genetics,Blood (Citrate),point-of-care method of Specific chromosomal deletion/translocation detection,6 hours,Yes,Standardized,Specialized
198,Digital Electrocardiogram (ECG/EKG),Cardiology,—,digital method of 12-lead cardiac electrical activity recording,48 hours,No,See report,Basic
199,Advanced X-Ray Spine (Cervical/Lumbar),Radiology,—,advanced method of Evaluates vertebral alignment and disc spaces,Same day,Yes,Lab-specific,Standard
200,Serial ESR (Erythrocyte Sedimentation Rate),Hematology,Blood (EDTA),serial method of Measures rate of red blood cell sedimentation,48 hours,No,Standardized,Standard
201,Conventional D-Dimer,Hematology,Blood (Citrate),conventional method of Fibrin degradation product indicating thrombosis or DIC,48 hours,8 hours,Lab-specific,Basic
202,Quantitative HLA Typing,Genetics,Blood (EDTA),quantitative method of Organ transplant matching and disease association,2 hours,No,See report,Specialized
203,Qualitative Doppler Ultrasound (Arterial/Venous),Radiology,—,qualitative method of Blood flow assessment in vessels,72 hours,Yes,Lab-specific,Advanced
204,Automated Allergy Panel (IgE),Immunology,Blood (Plain),automated method of Identifies specific allergen sensitization,4 hours,12 hours,See report,Basic
205,Lymph Node Biopsy,Pathology,Tissue,Diagnosis of lymphoma and metastatic disease,72 hours,8 hours,Age/sex dependent,Advanced
206,Fluorescent Serum Uric Acid,Biochemistry,Blood (Plain),fluorescent method of Measures uric acid for gout and kidney stone assessment,Same day,8 hours,Age/sex dependent,Standard
207,Malarial Antigen (RDT),Microbiology,Tissue,Rapid detection of Plasmodium species antigens,Same day,No,Lab-specific,Basic
208,Immunoassay D-Dimer,Hematology,Blood (Citrate),immunoassay method of Fibrin degradation product indicating thrombosis or DIC,48 hours,12 hours,Age/sex dependent,Specialized
209,High-Sensitivity Procalcitonin,Biochemistry,Blood (Plain),high-sensitivity method of Sepsis biomarker distinguishing bacterial from viral,Same day,12 hours,Standardized,Basic
210,Immunoassay HSG (Hysterosalpingography),Radiology,—,immunoassay method of Uterine and fallopian tube patency assessment,Same day,8 hours,See report,Standard
211,Immunoassay 24-Hour Urine Protein,Biochemistry,Urine (24h),immunoassay method of Quantifies proteinuria for renal disease staging,6 hours,No,Lab-specific,Advanced
212,High-Sensitivity Upper GI Endoscopy (OGD Scope) (211),Endoscopy,—,"high-sensitivity method of Visualization of esophagus, stomach, duodenum",4 hours,Yes,Age/sex dependent,Advanced
213,Confirmatory Throat Swab Culture,Microbiology,Swab,confirmatory method of Identifies Streptococcus and other pharyngeal pathogens,48 hours,12 hours,Age/sex dependent,Specialized
214,Advanced Holter Monitor (24-hour ECG),Cardiology,—,advanced method of Continuous cardiac rhythm monitoring,2 hours,No,Lab-specific,Advanced
215,Immunoassay Serum Creatinine,Biochemistry,Blood (Plain),immunoassay method of Kidney function marker measuring creatinine clearance,2 hours,8 hours,See report,Advanced
216,Point-of-Care Folate Level,Biochemistry,Blood (Plain),point-of-care method of Measures folic acid for megaloblastic anemia,48 hours,12 hours,Lab-specific,Advanced
217,Immunoassay Stool for Occult Blood (FOB),Biochemistry,Stool,immunoassay method of Colorectal cancer and GI bleeding screening,72 hours,Yes,Age/sex dependent,Specialized
218,Point-of-Care Free T3 and T4,Biochemistry,Blood (Plain),point-of-care method of Thyroid hormone levels for hypo/hyperthyroidism,2 hours,8 hours,Lab-specific,Advanced
219,X-Ray Knee/Hip/Shoulder,Radiology,—,Joint space evaluation for arthritis and fractures,72 hours,12 hours,Lab-specific,Advanced
220,Digital Vitamin B12 (219),Biochemistry,Blood (Plain),digital method of Measures cobalamin for neuropathy and anemia,48 hours,No,Age/sex dependent,Standard
221,Rapid Nerve Conduction Velocity (NCV) (220),Neurology,—,rapid method of Peripheral nerve function assessment,4 hours,8 hours,Lab-specific,Specialized
222,Quantitative Lipid Profile,Biochemistry,Blood (Plain),"quantitative method of Measures cholesterol, LDL, HDL, triglycerides",48 hours,Yes,See report,Basic
223,Advanced Pap Smear,Pathology,Blood (Plain),advanced method of Cervical cancer screening,1 hour,No,Standardized,Advanced
224,Rapid Complement (C3/C4),Immunology,Blood (Plain),rapid method of Complement system evaluation for autoimmune disease,2 hours,No,See report,Basic
225,Qualitative SGPT/ALT,Biochemistry,Blood (Plain),qualitative method of Liver-specific enzyme for hepatocellular damage,72 hours,No,See report,Standard
226,High-Sensitivity PSA (Prostate Specific Antigen),Biochemistry,Blood (Plain),high-sensitivity method of Prostate cancer screening marker,Same day,8 hours,Age/sex dependent,Basic
227,Conventional ANCA (Anti-Neutrophil Cytoplasmic Antibody),Immunology,Blood (Plain),conventional method of Vasculitis screening marker,1 hour,No,Age/sex dependent,Specialized
228,HLA-B27,Immunology,Blood (EDTA),Genetic marker for ankylosing spondylitis,2 hours,Yes,See report,Basic
229,High-Sensitivity Alkaline Phosphatase,Biochemistry,Blood (Plain),high-sensitivity method of Liver/bone enzyme elevated in cholestasis,1 hour,No,Lab-specific,Advanced
230,Fluorescent Blood Urea Nitrogen,Biochemistry,Blood (Plain),fluorescent method of Assesses kidney function and protein catabolism,72 hours,Yes,Age/sex dependent,Specialized
231,Immunoassay BAER (Brainstem Auditory Evoked Response),Neurology,—,immunoassay method of Brainstem and auditory pathway assessment,2 hours,8 hours,Lab-specific,Basic
232,Confirmatory Lymph Node Biopsy,Pathology,Tissue,confirmatory method of Diagnosis of lymphoma and metastatic disease,72 hours,8 hours,Lab-specific,Basic
233,Conventional BAER (Brainstem Auditory Evoked Response),Neurology,—,conventional method of Brainstem and auditory pathway assessment,72 hours,No,Age/sex dependent,Basic
234,Serial EEG (Electroencephalogram),Neurology,—,serial method of Brain electrical activity for seizure diagnosis,48 hours,8 hours,Lab-specific,Advanced
235,Quantitative Serum Albumin,Biochemistry,Blood (Plain),quantitative method of Protein marker for nutritional status and liver function,72 hours,8 hours,Age/sex dependent,Specialized
236,Quantitative CT Pulmonary Angiography (CTPA),Radiology,—,quantitative method of Gold standard for pulmonary embolism diagnosis,48 hours,12 hours,Lab-specific,Specialized
237,Extended Dengue NS1 Antigen,Microbiology,Blood (Plain),extended method of Early dengue fever detection antigen,24 hours,No,Lab-specific,Advanced
238,Immunoassay Bone Marrow Biopsy,Hematology,Blood (Citrate),immunoassay method of Histological examination of bone marrow for hematologic disorders,4 hours,Yes,See report,Basic
239,Quantitative Bone Scan (DEXA),Radiology,—,quantitative method of Bone mineral density for osteoporosis diagnosis,2 hours,No,See report,Advanced
240,Advanced Cardiac Catheterization,Cardiology,Blood (Citrate),advanced method of Hemodynamic assessment of cardiac chambers,4 hours,Yes,Age/sex dependent,Specialized
241,Serial Anti-HCV Antibody,Microbiology,Blood (Plain),serial method of Screens for hepatitis C infection,24 hours,No,Standardized,Advanced
242,Immunoassay FeNO (Fractional Exhaled Nitric Oxide),Pulmonology,Breath,immunoassay method of Airway eosinophilic inflammation marker,48 hours,Yes,Age/sex dependent,Standard
243,Automated COVID-19 Antigen Test,Microbiology,—,automated method of Rapid antigen detection for COVID-19,72 hours,Yes,Age/sex dependent,Standard
244,Automated FISH (Fluorescence In-Situ Hybridization),Genetics,Urine (Spot),automated method of Specific chromosomal deletion/translocation detection,6 hours,8 hours,See report,Basic
245,Rapid Urine Bence-Jones Protein,Biochemistry,Urine (24h),rapid method of Multiple myeloma screening marker,1 hour,8 hours,Standardized,Standard
246,Digital H. Pylori Urea Breath Test,Gastroenterology,Breath,digital method of Non-invasive H. pylori detection,72 hours,12 hours,Standardized,Specialized
247,Serial Nerve Conduction Velocity (NCV),Neurology,—,serial method of Peripheral nerve function assessment,72 hours,No,Age/sex dependent,Advanced
248,Extended Alkaline Phosphatase,Biochemistry,Blood (Plain),extended method of Liver/bone enzyme elevated in cholestasis,24 hours,No,See report,Standard
249,Immunoassay SGPT/ALT,Biochemistry,Blood (Plain),immunoassay method of Liver-specific enzyme for hepatocellular damage,Same day,12 hours,See report,Advanced
250,Serial Ambulatory Blood Pressure Monitoring,Cardiology,—,serial method of 24-hour blood pressure pattern assessment,24 hours,No,See report,Standard
251,Visual Evoked Potential (VEP),Neurology,—,Optic nerve function assessment,6 hours,12 hours,Age/sex dependent,Standard
252,Quantitative Fibrinogen Level,Hematology,Blood (Citrate),quantitative method of Measures fibrinogen for coagulation assessment,4 hours,12 hours,See report,Basic
253,Serial CSF Culture and Analysis,Microbiology,CSF,serial method of Evaluates meningitis and CNS infections,24 hours,8 hours,Age/sex dependent,Specialized
254,Qualitative ANA (Antinuclear Antibody),Immunology,Blood (Plain),qualitative method of Screening test for autoimmune disorders,1 hour,Yes,Standardized,Standard
255,Serial CSF Culture and Analysis (254),Microbiology,CSF,serial method of Evaluates meningitis and CNS infections,6 hours,No,Age/sex dependent,Specialized
256,Advanced Dengue NS1 Antigen,Microbiology,Blood (Plain),advanced method of Early dengue fever detection antigen,48 hours,No,Standardized,Basic
257,Fluorescent Spirometry (PFT),Pulmonology,Breath,fluorescent method of Lung function assessment for asthma and COPD,72 hours,8 hours,Standardized,Basic
258,Point-of-Care TSH (Thyroid Stimulating Hormone),Biochemistry,Blood (Plain),point-of-care method of Primary screening test for thyroid disorders,Same day,8 hours,See report,Advanced
259,Fluorescent Endometrial Biopsy,Pathology,CSF,fluorescent method of Uterine pathology assessment,2 hours,12 hours,Standardized,Advanced
260,Serial CRP (C-Reactive Protein),Biochemistry,Blood (Plain),serial method of Acute phase inflammatory marker,6 hours,8 hours,Lab-specific,Advanced
261,Fluorescent HLA Typing,Genetics,Blood (EDTA),fluorescent method of Organ transplant matching and disease association,Same day,8 hours,See report,Standard
262,Confirmatory Free T3 and T4,Biochemistry,Blood (Plain),confirmatory method of Thyroid hormone levels for hypo/hyperthyroidism,Same day,12 hours,Age/sex dependent,Basic
263,Fluorescent Alkaline Phosphatase,Biochemistry,Blood (Plain),fluorescent method of Liver/bone enzyme elevated in cholestasis,6 hours,Yes,Lab-specific,Advanced
264,Bronchoscopy,Endoscopy,—,Airway visualization and bronchial biopsy,6 hours,12 hours,See report,Advanced
265,Digital Ultrasound Obstetric,Radiology,—,"digital method of Fetal growth, placenta, amniotic fluid assessment",1 hour,Yes,Age/sex dependent,Advanced
266,Pulse Oximetry,Pulmonology,—,Non-invasive SpO2 monitoring,1 hour,8 hours,See report,Advanced
267,Quantitative Wound Swab Culture,Microbiology,CSF,quantitative method of Identifies pathogens in infected wounds,6 hours,8 hours,See report,Standard
268,Anti-TPO Antibody,Immunology,Blood (Plain),Hashimoto's thyroiditis diagnosis,48 hours,8 hours,Lab-specific,Standard
269,Quantitative Alkaline Phosphatase,Biochemistry,Blood (Plain),quantitative method of Liver/bone enzyme elevated in cholestasis,1 hour,12 hours,See report,Specialized
270,Immunoassay Rheumatoid Factor (RF),Immunology,Blood (Plain),immunoassay method of Antibody marker for rheumatoid arthritis,6 hours,12 hours,See report,Basic
271,Procalcitonin,Biochemistry,Blood (Plain),Sepsis biomarker distinguishing bacterial from viral,4 hours,8 hours,Lab-specific,Specialized
272,Automated Chromosomal Karyotyping,Genetics,Tissue,automated method of Chromosomal abnormality detection,Same day,12 hours,Lab-specific,Advanced
273,Extended Renal Biopsy,Pathology,Blood (Fluoride Oxalate),extended method of Glomerular disease classification,4 hours,8 hours,See report,Specialized
274,Confirmatory Serum Iron and TIBC,Biochemistry,Blood (Plain),confirmatory method of Iron metabolism panel for anemia classification,Same day,Yes,See report,Standard
275,Confirmatory HCG (Beta),Biochemistry,Breath,confirmatory method of Pregnancy test and testicular/trophoblastic tumor marker,2 hours,Yes,Lab-specific,Basic
276,Digital Dengue IgM/IgG Antibodies,Microbiology,Blood (Plain),digital method of Serological diagnosis of dengue fever,Same day,No,See report,Advanced
277,Point-of-Care D-Dimer,Hematology,Blood (Citrate),point-of-care method of Fibrin degradation product indicating thrombosis or DIC,24 hours,Yes,Standardized,Basic
278,Advanced CT Scan Abdomen and Pelvis,Radiology,—,advanced method of Detailed abdominal organ and vascular imaging,72 hours,8 hours,See report,Specialized
279,Confirmatory Urine Culture and Sensitivity,Microbiology,Urine (Mid-Stream),confirmatory method of Identifies uropathogens and antibiotic sensitivity,2 hours,8 hours,Lab-specific,Advanced
280,Conventional Urine Culture and Sensitivity,Microbiology,Urine (Mid-Stream),conventional method of Identifies uropathogens and antibiotic sensitivity,6 hours,8 hours,See report,Basic
281,Qualitative BNP/NT-proBNP,Biochemistry,Blood (Plain),qualitative method of Heart failure biomarker for ventricular stress,2 hours,No,Lab-specific,Specialized
282,Automated BNP/NT-proBNP,Biochemistry,Blood (Plain),automated method of Heart failure biomarker for ventricular stress,4 hours,No,Standardized,Specialized
283,Chromosomal Karyotyping,Genetics,Blood (EDTA),Chromosomal abnormality detection,24 hours,12 hours,Standardized,Basic
284,Immunoassay Serum Lipase,Biochemistry,Blood (Plain),immunoassay method of More specific pancreatic enzyme than amylase,48 hours,No,Lab-specific,Standard
285,Digital Serum Lipase,Biochemistry,Blood (Plain),digital method of More specific pancreatic enzyme than amylase,72 hours,Yes,Lab-specific,Advanced
286,Chest X-Ray (PA View),Radiology,—,"Imaging of lungs, heart, and mediastinum",72 hours,12 hours,Age/sex dependent,Specialized
287,Immunoassay Anti-CCP Antibody,Immunology,Blood (Plain),immunoassay method of Highly specific marker for rheumatoid arthritis,6 hours,Yes,See report,Advanced
288,Point-of-Care PSA (Prostate Specific Antigen),Biochemistry,Blood (Plain),point-of-care method of Prostate cancer screening marker,6 hours,Yes,Age/sex dependent,Basic
289,Digital MRI Brain,Radiology,—,"digital method of Detailed CNS imaging for tumors, MS, stroke",24 hours,8 hours,Standardized,Basic
290,Serial Mammography,Radiology,—,serial method of Breast tissue screening for cancer,24 hours,12 hours,See report,Standard
291,Extended Ultrasound Obstetric,Radiology,—,"extended method of Fetal growth, placenta, amniotic fluid assessment",2 hours,Yes,Lab-specific,Advanced
292,Digital Folate Level,Biochemistry,Blood (Plain),digital method of Measures folic acid for megaloblastic anemia,72 hours,8 hours,See report,Basic
293,Conventional Vitamin B12 (292),Biochemistry,Blood (Plain),conventional method of Measures cobalamin for neuropathy and anemia,24 hours,No,Age/sex dependent,Advanced
294,Advanced CA 19-9,Biochemistry,Blood (Plain),advanced method of Pancreatic cancer monitoring marker,Same day,Yes,See report,Basic
295,Qualitative Sputum for AFB (Acid-Fast Bacilli),Microbiology,Sputum,qualitative method of Screens for Mycobacterium tuberculosis,Same day,No,Age/sex dependent,Advanced
296,Digital Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),digital method of Syphilis activity monitoring test,4 hours,8 hours,Age/sex dependent,Advanced
297,Automated Blood Urea Nitrogen,Biochemistry,Blood (Plain),automated method of Assesses kidney function and protein catabolism,2 hours,8 hours,See report,Advanced
298,Serial Ultrasound Obstetric,Radiology,—,"serial method of Fetal growth, placenta, amniotic fluid assessment",Same day,8 hours,Standardized,Basic
299,Quantitative Insulin Level,Biochemistry,Blood (Plain),quantitative method of Measures insulin for insulin resistance assessment,1 hour,8 hours,Age/sex dependent,Standard
300,Immunoglobulins (IgG/IgM/IgA),Immunology,Blood (Plain),Measures antibody levels for immunodeficiency,2 hours,No,See report,Specialized
301,Serial Doppler Ultrasound (Arterial/Venous) (300),Radiology,—,serial method of Blood flow assessment in vessels,2 hours,Yes,Age/sex dependent,Specialized
302,Point-of-Care Fine Needle Aspiration Cytology (FNAC),Pathology,Urine (24h),point-of-care method of Cytological examination of nodules/masses,2 hours,No,Lab-specific,Basic
303,D-Dimer,Hematology,Blood (Citrate),Fibrin degradation product indicating thrombosis or DIC,6 hours,Yes,Age/sex dependent,Specialized
304,Advanced Fine Needle Aspiration Cytology (FNAC) (303),Pathology,Breath,advanced method of Cytological examination of nodules/masses,2 hours,8 hours,Age/sex dependent,Basic
305,Digital COVID-19 RT-PCR,Microbiology,—,digital method of Molecular detection of SARS-CoV-2,48 hours,Yes,Age/sex dependent,Advanced
306,ANCA (Anti-Neutrophil Cytoplasmic Antibody),Immunology,Blood (Plain),Vasculitis screening marker,2 hours,8 hours,Age/sex dependent,Basic
307,Rapid Complement (C3/C4) (306),Immunology,Blood (Plain),rapid method of Complement system evaluation for autoimmune disease,4 hours,Yes,See report,Basic
308,Extended Complement (C3/C4),Immunology,Blood (Plain),extended method of Complement system evaluation for autoimmune disease,2 hours,12 hours,See report,Advanced
309,Confirmatory Blood Culture and Sensitivity,Microbiology,Arterial Blood,confirmatory method of Detects bacterial/fungal bloodstream infections,24 hours,12 hours,See report,Specialized
310,HbA1c (Glycated Hemoglobin),Biochemistry,Blood (EDTA),3-month average blood glucose control marker,4 hours,No,See report,Specialized
311,Point-of-Care Treadmill Test (TMT/Exercise Stress Test),Cardiology,—,point-of-care method of Exercise-induced cardiac ischemia assessment,4 hours,No,See report,Basic
312,High-Sensitivity CRP (C-Reactive Protein),Biochemistry,Blood (Plain),high-sensitivity method of Acute phase inflammatory marker,72 hours,No,Lab-specific,Standard
313,Automated 24-Hour Urine Protein,Biochemistry,Urine (24h),automated method of Quantifies proteinuria for renal disease staging,6 hours,12 hours,See report,Specialized
314,Qualitative CT Scan Chest (HRCT) (313),Radiology,—,qualitative method of High-resolution lung parenchyma imaging,6 hours,12 hours,Lab-specific,Basic
315,Quantitative Coronary Angiography (CAG),Cardiology,Urine (Spot),quantitative method of Invasive visualization of coronary arteries,6 hours,12 hours,Lab-specific,Specialized
316,Immunoassay Mammography,Radiology,—,immunoassay method of Breast tissue screening for cancer,24 hours,No,Standardized,Advanced
317,Immunoassay Platelet Count,Hematology,Blood (EDTA),immunoassay method of Quantifies platelets for bleeding/clotting assessment,Same day,8 hours,Lab-specific,Basic
318,Confirmatory JAK2 Mutation,Genetics,Blood (EDTA),confirmatory method of Polycythemia vera and MPN diagnosis,48 hours,8 hours,Standardized,Basic
319,Conventional Urine Ketone Bodies,Biochemistry,Blood (Plain),conventional method of Diabetic ketoacidosis screening,48 hours,No,Age/sex dependent,Standard
320,Extended SGOT/AST,Biochemistry,Blood (Plain),extended method of Liver and muscle enzyme marker,4 hours,Yes,Lab-specific,Standard
321,Digital H. Pylori Antigen (Stool),Microbiology,Stool,digital method of H. pylori infection detection in stool,1 hour,No,Lab-specific,Basic
322,Qualitative 24-Hour Urine Protein,Biochemistry,Urine (24h),qualitative method of Quantifies proteinuria for renal disease staging,2 hours,12 hours,Lab-specific,Standard
323,Quantitative Treadmill Test (TMT/Exercise Stress Test),Cardiology,—,quantitative method of Exercise-induced cardiac ischemia assessment,Same day,Yes,See report,Standard
324,Serial Complete Blood Count,Hematology,Blood (EDTA),"serial method of Routine blood test measuring RBC, WBC, platelets, hemoglobin, and hematocrit",2 hours,Yes,Standardized,Basic
325,High-Sensitivity Chest X-Ray (PA View),Radiology,—,"high-sensitivity method of Imaging of lungs, heart, and mediastinum",24 hours,No,Standardized,Standard
326,Serial EMG (Electromyography),Neurology,—,serial method of Muscle electrical activity assessment,4 hours,Yes,Age/sex dependent,Specialized
327,Point-of-Care TSH (Thyroid Stimulating Hormone) (326),Biochemistry,Blood (Plain),point-of-care method of Primary screening test for thyroid disorders,48 hours,12 hours,Age/sex dependent,Advanced
328,Echocardiography (Echo),Cardiology,—,Cardiac structure and function assessment,6 hours,No,Lab-specific,Advanced
329,Fluorescent Urine Ketone Bodies,Biochemistry,Urine (24h),fluorescent method of Diabetic ketoacidosis screening,6 hours,No,Standardized,Advanced
330,Rapid Malarial Antigen (RDT),Microbiology,Urine (Mid-Stream),rapid method of Rapid detection of Plasmodium species antigens,48 hours,Yes,Age/sex dependent,Basic
331,Conventional Reticulocyte Count,Hematology,Blood (EDTA),conventional method of Counts immature red blood cells to assess bone marrow activity,48 hours,12 hours,Lab-specific,Basic
332,Automated C-Peptide,Biochemistry,Blood (Plain),automated method of Distinguishes Type 1 from Type 2 diabetes,1 hour,12 hours,Age/sex dependent,Standard
333,High-Sensitivity Coronary Angiography (CAG),Cardiology,Urine (Spot),high-sensitivity method of Invasive visualization of coronary arteries,2 hours,8 hours,Lab-specific,Specialized
334,Conventional Vitamin D (25-OH) (333),Biochemistry,Blood (Plain),conventional method of Measures vitamin D status,Same day,No,Standardized,Basic
335,Immunoassay Pulse Oximetry,Pulmonology,—,immunoassay method of Non-invasive SpO2 monitoring,72 hours,Yes,Standardized,Specialized
336,Qualitative CT Scan Head (Plain/Contrast),Radiology,—,"qualitative method of Brain imaging for stroke, tumor, trauma",Same day,No,Standardized,Standard
337,High-Sensitivity Lipid Profile,Biochemistry,Blood (Plain),"high-sensitivity method of Measures cholesterol, LDL, HDL, triglycerides",Same day,12 hours,Standardized,Specialized
338,Automated Venereal Disease Research Lab (VDRL),Microbiology,Blood (Plain),automated method of Syphilis screening test,4 hours,12 hours,Lab-specific,Advanced
339,Advanced Bone Marrow Biopsy,Hematology,—,advanced method of Histological examination of bone marrow for hematologic disorders,4 hours,Yes,Lab-specific,Advanced
340,Extended MRI Knee,Radiology,—,"extended method of Ligament, meniscus, and cartilage evaluation",48 hours,No,Lab-specific,Basic
341,Immunoassay AFP (Alpha-Fetoprotein),Biochemistry,Blood (Plain),immunoassay method of Liver cancer and prenatal screening marker,Same day,8 hours,Age/sex dependent,Basic
342,Advanced PET Scan (341),Radiology,—,advanced method of Metabolic imaging for cancer staging and response,Same day,8 hours,Standardized,Basic
343,Extended Visual Evoked Potential (VEP),Neurology,—,extended method of Optic nerve function assessment,2 hours,Yes,Lab-specific,Specialized
344,Confirmatory Coagulation Profile (PT/INR/aPTT),Hematology,Blood (Citrate),confirmatory method of Assesses clotting factor function and anticoagulation therapy,Same day,No,Lab-specific,Advanced
345,Extended Thyroglobulin Antibody,Biochemistry,Blood (Plain),extended method of Thyroid autoimmunity and cancer monitoring,1 hour,No,See report,Specialized
346,Digital Urine Microalbumin,Biochemistry,Urine (Spot),digital method of Early diabetic nephropathy detection,48 hours,8 hours,See report,Advanced
347,Digital CA-125,Biochemistry,Blood (Plain),digital method of Ovarian cancer biomarker,6 hours,No,See report,Specialized
348,Qualitative BNP/NT-proBNP (347),Biochemistry,Blood (Plain),qualitative method of Heart failure biomarker for ventricular stress,48 hours,8 hours,Age/sex dependent,Standard
349,Extended Blood Urea Nitrogen,Biochemistry,Blood (Plain),extended method of Assesses kidney function and protein catabolism,48 hours,8 hours,See report,Advanced
350,Rapid ESR (Erythrocyte Sedimentation Rate),Hematology,Blood (EDTA),rapid method of Measures rate of red blood cell sedimentation,72 hours,No,Lab-specific,Specialized
351,Conventional Intraocular Pressure (Tonometry),Ophthalmology,—,conventional method of Glaucoma screening and monitoring,1 hour,8 hours,Age/sex dependent,Advanced
352,Digital Ultrasound Abdomen and Pelvis,Radiology,—,digital method of Soft tissue imaging of abdominal organs,6 hours,8 hours,Standardized,Standard
353,Extended CPK/CK (Creatine Kinase),Biochemistry,Blood (Plain),extended method of Muscle/heart enzyme marker for MI and myopathy,48 hours,Yes,See report,Basic
354,CPK/CK (Creatine Kinase),Biochemistry,Blood (Plain),Muscle/heart enzyme marker for MI and myopathy,4 hours,No,Standardized,Basic
355,Serial Sigmoidoscopy,Endoscopy,—,serial method of Sigmoid colon and rectum examination,6 hours,12 hours,Standardized,Basic
356,Serial AFP (Alpha-Fetoprotein),Biochemistry,Blood (Plain),serial method of Liver cancer and prenatal screening marker,2 hours,12 hours,Lab-specific,Standard
357,High-Sensitivity X-Ray Abdomen (Erect) (356),Radiology,—,"high-sensitivity method of Evaluates bowel obstruction, perforation",6 hours,No,Age/sex dependent,Basic
358,Advanced EEG (Electroencephalogram),Neurology,—,advanced method of Brain electrical activity for seizure diagnosis,1 hour,8 hours,See report,Advanced
359,Automated Blood Culture and Sensitivity,Microbiology,Blood (Plain),automated method of Detects bacterial/fungal bloodstream infections,Same day,12 hours,Lab-specific,Basic
360,Rapid Pap Smear,Pathology,Urine (24h),rapid method of Cervical cancer screening,6 hours,Yes,See report,Specialized
361,Extended EEG (Electroencephalogram),Neurology,—,extended method of Brain electrical activity for seizure diagnosis,6 hours,Yes,Standardized,Specialized
362,Point-of-Care Intraocular Pressure (Tonometry),Ophthalmology,—,point-of-care method of Glaucoma screening and monitoring,4 hours,Yes,Standardized,Standard
363,Extended Wound Swab Culture (362),Microbiology,Arterial Blood,extended method of Identifies pathogens in infected wounds,48 hours,8 hours,See report,Basic
364,Confirmatory Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),confirmatory method of Syphilis activity monitoring test,6 hours,8 hours,See report,Advanced
365,Qualitative X-Ray Knee/Hip/Shoulder,Radiology,—,qualitative method of Joint space evaluation for arthritis and fractures,24 hours,8 hours,Standardized,Standard
366,Advanced HLA-B27,Immunology,Blood (EDTA),advanced method of Genetic marker for ankylosing spondylitis,1 hour,Yes,See report,Specialized
367,Fine Needle Aspiration Cytology (FNAC),Pathology,Blood (Fluoride Oxalate),Cytological examination of nodules/masses,4 hours,No,Lab-specific,Basic
368,Digital COVID-19 Antigen Test,Microbiology,Swab,digital method of Rapid antigen detection for COVID-19,4 hours,No,Lab-specific,Standard
369,Automated Serum Iron and TIBC,Biochemistry,Blood (Plain),automated method of Iron metabolism panel for anemia classification,4 hours,8 hours,Standardized,Basic
370,Qualitative Vitamin B12,Biochemistry,Blood (Plain),qualitative method of Measures cobalamin for neuropathy and anemia,72 hours,No,Lab-specific,Basic
371,Extended EEG (Electroencephalogram) (370),Neurology,—,extended method of Brain electrical activity for seizure diagnosis,2 hours,No,Age/sex dependent,Specialized
372,Immunoassay Alkaline Phosphatase,Biochemistry,Blood (Plain),immunoassay method of Liver/bone enzyme elevated in cholestasis,48 hours,No,See report,Standard
373,Point-of-Care Ultrasound Thyroid,Radiology,—,point-of-care method of Evaluates thyroid gland morphology and nodules,72 hours,12 hours,See report,Standard
374,Extended Serum Electrolytes (Na/K/Cl),Biochemistry,Blood (Plain),"extended method of Measures sodium, potassium, chloride levels",24 hours,Yes,Lab-specific,Advanced
375,Immunoassay Serum Bilirubin (Total/Direct),Biochemistry,Blood (Plain),immunoassay method of Measures bilirubin for jaundice evaluation,2 hours,Yes,Lab-specific,Standard
376,Digital Core Needle Biopsy,Pathology,Blood (Plain),digital method of Histological examination of solid tumors,4 hours,12 hours,See report,Advanced
377,Stool for Ova and Parasite,Microbiology,Stool,Intestinal parasitic infection detection,6 hours,No,Age/sex dependent,Specialized
378,Digital CA-125 (377),Biochemistry,Blood (Plain),digital method of Ovarian cancer biomarker,72 hours,No,Lab-specific,Advanced
379,High-Sensitivity Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),high-sensitivity method of Syphilis activity monitoring test,48 hours,No,Standardized,Specialized
380,Serial CSF Culture and Analysis (379),Microbiology,CSF,serial method of Evaluates meningitis and CNS infections,24 hours,8 hours,Lab-specific,Basic
381,X-Ray Spine (Cervical/Lumbar),Radiology,—,Evaluates vertebral alignment and disc spaces,6 hours,12 hours,Age/sex dependent,Advanced
382,High-Sensitivity COVID-19 RT-PCR,Microbiology,Arterial Blood,high-sensitivity method of Molecular detection of SARS-CoV-2,72 hours,Yes,See report,Standard
383,Extended Vitamin B12,Biochemistry,Blood (Plain),extended method of Measures cobalamin for neuropathy and anemia,1 hour,No,See report,Advanced
384,Extended Procalcitonin,Biochemistry,Blood (Plain),extended method of Sepsis biomarker distinguishing bacterial from viral,48 hours,No,See report,Standard
385,Rapid Vitamin B12,Biochemistry,Blood (Plain),rapid method of Measures cobalamin for neuropathy and anemia,6 hours,No,Lab-specific,Basic
386,Rapid Sputum for AFB (Acid-Fast Bacilli),Microbiology,Sputum,rapid method of Screens for Mycobacterium tuberculosis,2 hours,No,See report,Specialized
387,Rapid Lipid Profile (386),Biochemistry,Blood (Plain),"rapid method of Measures cholesterol, LDL, HDL, triglycerides",2 hours,8 hours,Age/sex dependent,Specialized
